Player ID,Name,Data-version,Rating,Position,Current Price,Average Price Change,LGB Prediction,Transformer Prediction,Action
237603,Juan Sebastián Verón,icon gold,CM,86,148205.88235294117,240.0,196.03991381232444,165.82005,Sell
239071,Filippo Inzaghi,icon gold,ST,87,105947.36842105263,236.48648648648648,-725.4505777254919,157.64204,Sell
256431,Petr Cech,icon gold,GK,86,194287.03703703705,235.8490566037736,-234.03957709800875,161.08723,Sell
50524035,Ciro Immobile,europa_live gold,ST,88,140226.19047619047,231.70731707317074,278.7842501336074,157.02301,Sell
50531793,Carlos Henrique Venancio Casimiro,halloween gold,CDM,90,66264.1914893617,228.2608695652174,-219.11823144203734,162.81625,Sell
239060,Edwin van der Sar,icon gold,GK,87,388028.9855072464,227.94117647058823,101.60903031322235,164.25536,Sell
183898,Ángel Di María,gold,RW,87,17642.241379310344,227.67857142857142,-309.4040122991826,165.71681,Sell
50564697,Jadon Sancho,otw gold,RM,87,127647.32142857143,227.27272727272728,232.32085560991794,161.3301,Sell
247324,Carlos Alberto Torres,icon gold,RB,90,813291.6666666666,223.40425531914894,51.398079928690585,159.96342,Sell
209960,Fernando Pacheco Flores,gold,GK,80,1087.5,213.63636363636363,191.79670156154572,170.2816,Sell
199556,Marco Verratti,gold,CM,87,17575.89285714286,212.96296296296296,-584.6887840561383,172.66922,Sell
256154,Philipp Lahm,icon gold,CDM,89,1528579.365079365,209.67741935483872,241.63680472124628,161.33894,Sell
239072,Filippo Inzaghi,icon gold,ST,85,85544.8717948718,203.94736842105263,-55.11684715938196,162.8693,Sell
239518,Christian Vieri,icon gold,ST,86,102325.58139534884,202.38095238095238,-797.7806323654007,161.96533,Sell
239115,Jari Litmanen,icon gold,CF,85,87173.91304347826,200.0,-37.45070563000795,161.6494,Sell
50561206,Dayot Upamecano,otw gold,CB,84,227194.37209302327,198.8235294117647,-433.2784285824518,159.68764,Sell
50540979,Mohamed Salah,if gold,RW,90,407721.31147540984,191.66666666666666,-608.9448886299508,154.08363,Sell
261394,Iker Casillas Fernández,icon gold,GK,87,233000.0,190.14084507042253,-252.90216545339507,156.31966,Sell
261593,Jürgen Kohler,heroes gold,CB,89,40817.307692307695,187.5,685.2766310335984,164.22806,Sell
50535010,Mohamed Elyounoussi,if gold,CM,81,16375.0,186.04651162790697,-596.7966668101262,160.76196,Sell
50578911,Edmond Tapsoba,europa_live gold,CB,84,58114.13043478261,183.33333333333334,86.71983132772894,158.20525,Sell
239533,Ruud van Nistelrooy,icon gold,ST,86,86806.25,179.48717948717947,-455.56821989310566,154.3538,Sell
50575911,Amir Rrahmani,if gold,CB,81,18959.134615384617,178.92156862745097,335.07663765272207,155.42007,Sell
247704,Ian Rush,icon gold,ST,87,167453.125,166.66666666666666,-109.13785783937006,160.97081,Sell
188545,Robert Lewandowski,gold,ST,92,62676.64,166.66666666666666,-775.7435508024722,164.58081,Sell
212218,Aymeric Laporte,gold,CB,86,13534.48275862069,160.71428571428572,-213.8419890279521,163.79622,Sell
50555982,Marcos Acuña,if gold,LB,86,26050.0,160.25641025641025,22.435906408447252,163.95212,Sell
242521,Johan Cruyff,icon gold,CF,89,2610804.6875,158.73015873015873,391.92189478717347,157.91173,Sell
232363,Milan Škriniar,gold,CB,86,13350.0,158.08823529411765,-245.43771949752633,166.39108,Sell
50578577,Gerson Rodrigues Gouveia,if gold,ST,79,12109.25925925926,157.69230769230768,-382.0748833590991,159.69351,Sell
5661,Fernando Morientes Sánchez,heroes gold,ST,89,62927.07547169811,153.84615384615384,14148.080852368927,172.92703,Sell
50566561,Christian Fassnacht,if gold,RM,81,13678.57142857143,152.77777777777777,-390.62865571048627,160.69524,Sell
233049,Jadon Sancho,gold,RM,87,18521.55172413793,151.78571428571428,941.4846969350671,76.12436,Sell
255757,Nemanja Vidić,icon gold,CB,85,231507.8125,150.79365079365078,149.83520172904764,162.43092,Sell
221491,Nico Elvedi,gold,CB,79,1120.0,150.0,-160.42953684956237,78.1741,Sell
208364,Clinton Mukoni Mata Pedro Lourenço,gold,RB,78,1060.0,150.0,-244.20791847731635,167.48643,Sell
214040,Frank Fabra,libertadores_b gold,LB,78,1922.9166666666667,147.82608695652175,-654.7930732324927,158.43503,Sell
192985,Kevin De Bruyne,gold,CM,91,59573.77142857143,147.34782608695653,-2538.6551054231127,165.6661,Sell
50532137,Douglas da Silva Vieira,if gold,ST,78,14725.0,147.05882352941177,33.37098550214044,164.8614,Sell
50525631,Andy Delort,if gold,ST,84,13916.666666666666,144.23076923076923,-282.0684631677457,153.05798,Sell
158023,Lionel Messi,gold,RW,93,534068.1573033708,143.9431818181818,-80.9683124627771,172.89172,Sell
50487510,Sergio Ramos García,otw gold,CB,88,107092.34,142.85714285714286,163.43006546332225,161.45303,Sell
50570860,Carlos Daniel López Huesca,if gold,ST,79,12564.655172413793,142.85714285714286,-932.5240914447902,166.25902,Sell
50564404,Fikayo Tomori,otw gold,CB,82,123256.18518518518,141.50943396226415,-146.24841252364473,163.34566,Sell
13383,Hidetoshi Nakata,icon gold,CAM,86,208239.77142857143,137.68115942028984,7679.534977654224,176.22379,Sell
197837,Dedryck Boyata,gold,CB,78,1010.0,137.5,505.45182091989454,166.2929,Sell
200104,Heung Min Son,gold,LM,89,59430.35820895522,136.36363636363637,-271.8997317380537,166.93597,Sell
213160,Roman Zobnin,gold,CDM,78,912.5,133.33333333333334,-108.33075636291687,153.63405,Sell
242940,Raúl González Blanco,icon gold,CF,86,139750.0,132.6530612244898,-487.2285725909352,158.56197,Sell
165153,Karim Benzema,gold,CF,89,33560.89743589744,131.57894736842104,6028.585125921767,77.54303,Buy
239108,Jay-Jay Okocha,icon gold,RM,85,310567.5675675676,130.13698630136986,-326.7383057558621,165.74667,Sell
13038,Carles Puyol Saforcada,icon gold,RB,86,142372.54901960783,130.0,604.4562498930436,170.29706,Sell
50587068,Ercan Kara,if gold,ST,79,12425.0,129.16666666666666,-70.26065454346082,162.65013,Sell
162835,Samir Handanovic,gold,GK,86,12743.939393939394,127.34375,1023.3230986976855,173.06863,Buy
212831,Alisson Ramses Becker,gold,GK,89,34507.35294117647,125.0,111.09481819006332,170.03462,Sell
167948,Hugo Lloris,gold,GK,87,17872.375,125.0,-233.2165405765564,165.19002,Sell
50563014,Philipp Lienhart,if gold,CB,81,13392.045454545454,125.0,-307.350175277197,160.9405,Sell
198657,Jonas Svensson,gold,RB,78,1060.0,125.0,-798.2762019871972,166.16846,Sell
239531,Bobby Moore,icon gold,CB,89,144660.0,122.44897959183673,555.6405099390628,160.21994,Sell
239598,Alan Shearer,icon gold,ST,89,169900.0,122.44897959183673,-35.58178442982235,77.15271,Sell
258779,David Beckham,icon gold,CM,87,477858.2089552239,121.21212121212122,411.69751098810553,160.34103,Sell
153079,Sergio Agüero,gold,ST,87,17822.58064516129,120.83333333333333,-1940.5467479424829,173.61656,Sell
50551329,Jordan Amavi,europa_live gold,LB,83,34764.15094339623,120.1923076923077,39.316934858329915,160.17772,Sell
201119,Ismaily Gonçalves dos S.,gold,LB,80,1033.3333333333333,120.0,535.7568428861184,163.71523,Sell
236506,Marcos Senesi,gold,CB,79,1914.7058823529412,118.75,-153.82394800467534,165.52458,Sell
50561554,Leon Bailey,otw gold,RM,82,18460.526315789473,118.24324324324324,1.436137212278759,164.36671,Sell
231281,Trent Alexander-Arnold,gold,RB,87,18664.0625,116.93548387096774,8.352542238254038,165.27931,Sell
192387,Ciro Immobile,gold,ST,87,17588.709677419356,116.66666666666667,-311.7699430975595,162.00949,Sell
262271,Diego Milito,heroes gold,ST,88,29046.67391304348,116.66666666666667,-554.2655870800154,158.07372,Sell
256630,Florian Wirtz,gold,CAM,78,862.5,116.66666666666667,-594.4182676661076,154.99461,Sell
